username,account_description,location,following,followers,total_tweets,total_retweets,user_created,tweet_created,text,hashtags
kamil_gk,.,Türkiye,13699,13666,139464,3646,2012-08-02 13:58:56,2020-03-11 17:35:03,"""Pandemic is not a word to use lightly or carelessly. It is a word that, if misused, can cause unreasonable fear, or unjustified acceptance that the fight is over, leading to unnecessary suffering and death""-@DrTedros #COVID19 #coronavirus",[]
fundraisinguk,Fundraising UK Ltd is the publisher of UK Fundraising (http://t.co/EivaB6LV9D). We tweet at @ukfundraising and @howardlake.,Colchester,8,3115,1312,4,2009-04-11 11:02:54,2020-03-11 17:35:03,Have Italian fundraisers anything to share from their experience of fundraising amid #coronavirus that fundraisers in other countries could learn from? @ENGAGED_in @fundraisingfest @EFAfundassn @elenazanella @MalfSte. Your medic colleagues' reports have helped UK medics prepare.,"[{'text': 'coronavirus', 'indices': [101, 113]}]"
cmacthebigmac1,"Son, Brother, Uncle, Friend and sci-fi nerd.   Expect the unexpected!!",,2314,651,4536,1460,2013-09-23 12:01:51,2020-03-11 17:35:03,"""Let me summarize it in 4⃣ key areas.

1⃣ Prepare and be ready.

2⃣ Detect, protect and treat.

3⃣ Reduce transmission.

4⃣ Innovate and learn""-@DrTedros #COVID19 #coronavirus",[]
RaheemDeo8,90% of your problems can be solved by marketing.  Solving the other 10% just requires good procrastination skills.,Sri Lanka,1735,38,869,1,2019-01-21 04:20:18,2020-03-11 17:35:03,"#panicbuyers in every supermarkets in #kuwait 

#COVID19 #coronavirus https://t.co/1qWbKvw6aV","[{'text': 'panicbuyers', 'indices': [13, 25]}, {'text': 'kuwait', 'indices': [51, 58]}, {'text': 'COVID19', 'indices': [61, 69]}, {'text': 'coronavirus', 'indices': [70, 82]}]"
childishbimbi,,CEU Manila,50,103,346,120,2018-01-28 02:01:52,2020-03-11 17:35:03,"The world thinking the #Coronavirus is ""just the flu""

#COVID19 #CoronaVirusUpdate https://t.co/XcvBh9Fwm9","[{'text': 'Coronavirus', 'indices': [44, 56]}, {'text': 'COVID19', 'indices': [76, 84]}, {'text': 'CoronaVirusUpdate', 'indices': [85, 103]}]"
stillbigo,Trader🛢️🛢️🛢️⛽️⛽️⛽️💹💹💹,"Texas, USA",1583,363,101102,6,2012-02-25 19:07:22,2020-03-11 17:35:02,"#Coronavirus: #COVID-19 Is Now Officially A Pandemic, WHO Says https://t.co/80bGfZLMnA
@InfectiousDz @IDSAInfo","[{'text': 'Coronavirus', 'indices': [13, 25]}, {'text': 'COVID', 'indices': [27, 33]}]"
SandyKAlano,"Resistor, Vietnam era veteran USAF","Apache Junction, AZ",809,1216,236469,23,2017-01-06 21:51:49,2020-03-11 17:35:02,So glad that @RonWyden is starting the important work of ensuring the public can vote in the #2020election in the face of the #coronavirus. States need to start getting ready now. And Congress should also appropriate emergency funds to help them. https://t.co/XhN7Qu3OyM,"[{'text': '2020election', 'indices': [111, 124]}]"
jourdainjud,,,3011,917,38384,228,2015-11-19 14:01:28,2020-03-11 17:35:02,I wonder...did she survey all types of restaurants to find out if overall patronage is down because...idk...#coronavirus is contagious?.....No @AOC It’s just you- Only racist people go around thinking everyone is a racist. https://t.co/BXvkWtYe4s,"[{'text': 'coronavirus', 'indices': [127, 139]}]"
NewIndianXpress,"All the tweets for breaking news & views.
Facebook: https://t.co/2JWnDQzN07
YouTube: https://t.co/j6jQDbuEjK",Chennai,534,393584,566150,0,2009-12-05 09:24:55,2020-03-11 17:35:02,"Iran reported 63 new deaths due to #coronavirus raising the death toll to 354 amid over 9,000 cases in the country. 
https://t.co/if2GuwJeiN","[{'text': 'coronavirus', 'indices': [35, 47]}]"
GreekReporter,Greek News From Around The Globe  http://t.co/BTnqSzxB,Greeks Are Everywhere! ,130,20867,60574,0,2009-05-06 02:26:22,2020-03-11 17:35:02,#WHO Declares Covid-19 #Coronavirus a Global Pandemic https://t.co/nOjVEkzdJ4,"[{'text': 'WHO', 'indices': [0, 4]}, {'text': 'Coronavirus', 'indices': [23, 35]}]"
c_caviglia,"von ganzem Herzen Velofahrerin und Mutter. Ach ja, und Physiotherapeutin. Keine Fernheilung, aber @PhysioSnap.",Switzerland,2131,2249,53091,1441,2010-12-10 12:36:42,2020-03-11 17:35:02,"""If countries detect, test, treat, isolate, trace, and mobilize their people in the response, those with a handful of #COVID19 cases can prevent those cases becoming clusters, and those clusters becoming community transmission""-@DrTedros #coronavirus","[{'text': 'COVID19', 'indices': [127, 135]}]"
ronpowell7,"US Army veteran. God & Country.
#TrumpPence2020",,6972,7502,86398,13,2012-11-05 01:56:35,2020-03-11 17:35:02,"From A Friend...

Hi John. 

Just my thoughts on observations I have noticed over the years with my involvement in the virus industry.

1. The Covid 19 has little effect on the young.

2. It is very dangerous to people past 65 years of age.

#coronavirus 

@realDonaldTrump",[]
BarbaraKucsera,,,225,67,233,4429,2018-10-10 18:10:56,2020-03-11 17:35:02,Media briefing on #COVID19 with @DrTedros. #coronavirus https://t.co/aPFXT3ex5y,"[{'text': 'COVID19', 'indices': [27, 35]}, {'text': 'coronavirus', 'indices': [52, 64]}]"
tjlavoie,,"Coastal BC, Canada",366,125,3983,45,2009-05-13 02:36:24,2020-03-11 17:35:02,"Couldn't help myself.
#purell #Cdnpoli #COVID19 #coronavirus https://t.co/lznkYqylBI","[{'text': 'purell', 'indices': [43, 50]}, {'text': 'Cdnpoli', 'indices': [51, 59]}, {'text': 'COVID19', 'indices': [60, 68]}, {'text': 'coronavirus', 'indices': [69, 81]}]"
LizSaldanaNYC,"I enjoy healthy living 🏋️‍♀️, business development 💰, #realestate 🌇, #travel ✈️🛥 and enjoying life. #nutrition #NYC","New York City, NY",1113,1491,18578,0,2012-07-22 13:06:52,2020-03-11 17:35:02,"Tired of singing Happy Birthday twice to time washing your hands?  A UK teen developed a site that generates hand washing posters, featuring the lyrics of whatever song you want. https://t.co/qlH1KS2UZk #coronavirus #handwashing #WashYourHands #WellnessWednesday https://t.co/GsLgltqfyR","[{'text': 'coronavirus', 'indices': [203, 215]}, {'text': 'handwashing', 'indices': [216, 228]}, {'text': 'WashYourHands', 'indices': [229, 243]}, {'text': 'WellnessWednesday', 'indices': [244, 262]}]"
Jorge195908,#music #tax #social #EU A story must have some points of contact with the reader to make him feel at home in it. Only then can he accept wonders. (#Steinbeck),Europa,2876,3593,9852,2,2015-12-05 12:30:14,2020-03-11 17:35:02,"Statement after Videoconference of #vonderLeyen and #GiuseppeConte - #Coronavirus is a European crisis that requires a strong coordinated European solidarity; #Italy is currently at the Forefront and faces immediate health, social and economic consequences
https://t.co/7RxGBh15og","[{'text': 'vonderLeyen', 'indices': [54, 66]}, {'text': 'GiuseppeConte', 'indices': [71, 85]}, {'text': 'Coronavirus', 'indices': [88, 100]}]"
karimraffa,"Director of Strategy & Ventures @ Digi - Group      |      
Show-Host @ BTCN Asia","Singapore, London",1924,2172,45505,0,2018-04-12 01:40:48,2020-03-11 17:35:02,"#WHO declares that coronavirus crisis is now a #Pandemic

#Coronavirus #TedrosAdhanomGhebreyesus
https://t.co/ypKv668nOQ https://t.co/iFNaRdssjb RT @worldnewsdotcom","[{'text': 'WHO', 'indices': [0, 4]}, {'text': 'Pandemic', 'indices': [47, 56]}, {'text': 'Coronavirus', 'indices': [58, 70]}, {'text': 'TedrosAdhanomGhebreyesus', 'indices': [71, 96]}]"
EdmundoCalero,🎙#Podcaster 🌟 Spreaker @DeNoticiAlgoMas @DeGenLoParlar 📱#Mobilephotography  🎬 #Videoproducer 🖲 Live Streaming... in my spare time.,"Guayaquil, Ecuador",2816,2160,13643,31106,2010-04-10 20:37:11,2020-03-11 17:35:02,"🚨 BREAKING 🚨

""We have therefore made the assessment that #COVID19 can be characterized as a pandemic""-@DrTedros #coronavirus https://t.co/JqdsM2051A","[{'text': 'COVID19', 'indices': [67, 75]}, {'text': 'coronavirus', 'indices': [122, 134]}]"
haus_of_noir,💖free bitch🏩🖤let’s appreciate👑💫kindness rules💕😛 #CHROMATICA out April 10 😍✨,Electric Chapel🤍,221,99,3675,1460,2018-06-03 11:06:15,2020-03-11 17:35:02,"""Let me summarize it in 4⃣ key areas.

1⃣ Prepare and be ready.

2⃣ Detect, protect and treat.

3⃣ Reduce transmission.

4⃣ Innovate and learn""-@DrTedros #COVID19 #coronavirus",[]
jettwalker,"User-centered, accessibility & experience designer. Grandma, conscious being, elephant spotter, question asker, listener.","New: Mexico, Jersey, York",1433,750,30599,93,2009-07-01 23:51:08,2020-03-11 17:35:02,"Today @NMDOH and I have announced three presumptive positive cases of COVID-19, the novel #coronavirus, the first cases in New Mexico, all travel-related. I will be holding a press conference shortly, which will be livestreamed, to announce additional details and our response. https://t.co/ZUJyokuEGe","[{'text': 'coronavirus', 'indices': [102, 114]}]"
KarolVera1,"Una Colombiana, Santandereana Muy Orgullosa De Su Tierra :) 
Bióloga de la Pontificia Universidad Javeriana
Estudiante de Maestría en Educación",,542,125,1293,314,2011-08-18 00:09:22,2020-03-11 17:35:02,"#pandemia.   ⚠️🚨

#coronavirusOutbreak Declared as Pandemic by World Health Organisation.

#coronavirus #COVID19 #Coronavid19 #Corona #Coronavirustruth https://t.co/W3Lr9LpXd2","[{'text': 'pandemia', 'indices': [19, 28]}, {'text': 'coronavirusOutbreak', 'indices': [37, 57]}, {'text': 'coronavirus', 'indices': [110, 122]}, {'text': 'COVID19', 'indices': [123, 131]}]"
nicoledevecchio,𝑀𝓎 𝒽𝒾𝑔𝒽𝓁𝒾𝑔𝒽𝓉𝑒𝓇 𝒾𝓈 𝒷𝓇𝒾𝑔𝒽𝓉𝑒𝓇 𝓉𝒽𝒶𝓃 𝓎𝑜𝓊,Italy,195,223,2968,52,2014-02-25 19:25:45,2020-03-11 17:35:02,"L' evoluzione spaventosa del Covid-19, China esclusa.

The frightening evolution of Covid-19, excluding China.

#CoronaVirusitaly #iorestoacasa #COVID19 #coronavirus #chiuderetutto #coranavirusitalia #italiazonaprotetta #pandemia #COVID2019italia #italylockdown #EURO2020 https://t.co/ZLWK4dc6Lo",[]
gabriell_111,,,88,56,1116,622,2016-05-10 07:18:52,2020-03-11 17:35:02,BREAKING: The World Health Organization declares #coronavirus outbreak a global pandemic,"[{'text': 'coronavirus', 'indices': [66, 78]}]"
puffedtweet,"Freelance writer, broadcaster and comedy critic. Lover of words, wit, women and Barbados rum.",,2010,1359,13579,0,2013-10-31 21:35:07,2020-03-11 17:35:02,"Naomi Campbell in full Hazmat suit, mask and gloves ready to board her flight. It's not for #coronavirus - it's in case she has to sit in economy.... https://t.co/Lpx4QNBAL0","[{'text': 'coronavirus', 'indices': [92, 104]}]"
kimspence,"Dog Lover; Storybook Producer; Director on the Board of Directors for Alliance for Women in Media SoCal, Documentary/ Indie Film Mktg",Los Angeles,1959,1121,8170,9814,2009-03-01 22:31:53,2020-03-11 17:35:02,"As an MIT PhD in Biological Engineering who studies &amp; does research nearly every day on the Immune System, the #coronavirus fear mongering by the Deep State will go down in history as one of the biggest fraud to manipulate economies, suppress dissent, &amp; push MANDATED Medicine! https://t.co/Q5VeOqzWEp","[{'text': 'coronavirus', 'indices': [129, 141]}]"
inyonggwetrust,Definisi bahagia sesunggunya adalah bisa tidur jam 9 malam,Makassar,35,166,300,4430,2014-01-13 12:22:58,2020-03-11 17:35:02,Media briefing on #COVID19 with @DrTedros. #coronavirus https://t.co/aPFXT3ex5y,"[{'text': 'COVID19', 'indices': [27, 35]}, {'text': 'coronavirus', 'indices': [52, 64]}]"
dana_jpeg,"Seyretme lan
Seyretme dana",,74,2,158,31107,2020-01-25 08:37:18,2020-03-11 17:35:02,"🚨 BREAKING 🚨

""We have therefore made the assessment that #COVID19 can be characterized as a pandemic""-@DrTedros #coronavirus https://t.co/JqdsM2051A","[{'text': 'COVID19', 'indices': [67, 75]}, {'text': 'coronavirus', 'indices': [122, 134]}]"
RebeccaMyself,Happily Married Christian Conservative just trying to live one day at a time in an evil world. NO DM'S #MAGA Thank you very much for all who choose to follow,"Radford, VA",2434,2174,36745,1,2016-10-01 02:56:06,2020-03-11 17:35:02,"#CoronaVirus Outside of China - 44,040 cases and 1,427 deaths.

To date a total of 4,585 deaths and 124,830 total #covid19 cases have been confirmed worldwide.

#CoronaVirusOutbreak https://t.co/vQDfcufsvs","[{'text': 'CoronaVirus', 'indices': [11, 23]}, {'text': 'covid19', 'indices': [125, 133]}]"
emanuel_medina8,"MPSS SEASE BRIGADAS 👨🏻‍⚕️Por que en SEASE, si se hace, y se hace bien, Facultad de Medicina UANL Somosviboras Hincha del Club de Futbol Monterrey 2️⃣3️⃣","México, Monterrey",1792,540,12021,31107,2010-04-22 23:26:50,2020-03-11 17:35:02,"🚨 BREAKING 🚨

""We have therefore made the assessment that #COVID19 can be characterized as a pandemic""-@DrTedros #coronavirus https://t.co/JqdsM2051A","[{'text': 'COVID19', 'indices': [67, 75]}, {'text': 'coronavirus', 'indices': [122, 134]}]"
StinsonLe,,,100,8,10073,167,2014-12-11 01:10:44,2020-03-11 17:35:02,"Yes, @realDonaldTrump has botched the response to #coronavirus pandemic, now he's trying to cover his tracks. But classifying deliberations makes it harder for health experts in government w/o security clearances to be in key meetings. This is a disaster. https://t.co/Y0E28iXso3","[{'text': 'coronavirus', 'indices': [70, 82]}]"
Politics_NYY,The GOP is the party of white supremacy.,,1800,471,214227,143,2016-01-18 01:53:53,2020-03-11 17:35:01,"We just updated our log of total #coronavirus testing capacity in U.S. for additional labs. Across U.S., we're now able to test about 16,000 patients a day. Capacity isn't evenly distributed. Providers in some states still face difficulty accessing tests. https://t.co/8N5tyoWDL2","[{'text': 'coronavirus', 'indices': [54, 66]}]"
MsPepper1970,,"Los Angeles, CA",242,471,104154,80,2011-03-02 15:30:00,2020-03-11 17:35:01,"I believe The World Health Organization.

The #coronavirus is a pandemic.

I do not believe Donald Trump.

He hides public health data.

#ByeByeTrump","[{'text': 'coronavirus', 'indices': [62, 74]}]"
naderalkandary,,Kuwait ,207,134,693,3646,2013-02-02 20:36:29,2020-03-11 17:35:01,"""Pandemic is not a word to use lightly or carelessly. It is a word that, if misused, can cause unreasonable fear, or unjustified acceptance that the fight is over, leading to unnecessary suffering and death""-@DrTedros #COVID19 #coronavirus",[]
